index,question_type,prompt_complexity,prompt_audience,data_source,question,model,embedding_model,response
q5-comp3-aud1-data1,5. Complex question distilling information/pre-check,3. Phrased in a prompt engineering format with specific instructions,1. Professional developer,1. Minneapolis zoning code,"Aim: I am trying to fill a permit application for constructing a small multi-family building in urban neighborhood 3 (UN3) zoning district,  Minneapolis, MN. Provide a checklist of all information and documentation I need to fill the permit application successfully per the zoning ordinance.

Output: A checklist of requested information stated in the Aim.

",gpt-5-mini,e5_large_unstruct_by_title,"Checklist to complete a zoning permit application for a small multi‑family building in UN3 (per the retrieved Minneapolis zoning code excerpts)

Core application and admin items
- Completed zoning permit application form from the zoning administrator and payment of required fees (see Table 525‑1). (Ref: Minneapolis Code — forms and fees; Context 2)
- Note: the zoning administrator may request additional materials; approved plans will be stamped by the zoning administrator and that stamp serves as the zoning permit. (Ref: 525.620(b); Context 2)

Required plans and drawings (dimensioned/annotated)
- Dimensioned, annotated site plan showing proposed building(s) including building bulk, heights, and uses; all existing buildings and uses in exact relation to lot lines. (Ref: 525.620(b); Context 2)
- Detailed floor plans and building elevations showing finished heights, materials, and all exterior openings/entrances. (Ref: 525.990/550.990(a); Contexts 2 & 4)
- Site plan elements required by development/site plan review: location of structures, parking areas, vehicular and pedestrian access, open space, drainage and sewerage, fire protection, and master sign plan if applicable. (Ref: 550.990(a); Context 4)

Standards, calculations and compliance documentation
- Built‑form and dimensional compliance package: calculations and documentation demonstrating compliance with applicable built form overlay numeric standards (lot area/width, maximum floor‑area‑ratio, maximum height, maximum lot coverage) and identification of the specific built‑form overlay plate(s) that apply to the parcel. (Ref: 535.750–535.780; Context 1)
- Parking plan and location demonstrating that parking (including accessory parking) is located where allowed by the primary zoning. (Ref: 535.740; Context 1)
- Any required site plan review compliance showing conformance with Chapter 550, Article V (landscaping, screening, bufferyards and other site plan review standards). (Ref: Chapter 550, Article V / 550.990(a); Contexts 3 & 4)

Engineering, environmental, and utility plans
- Drainage / stormwater management plan for runoff on the site. (Ref: Context 3; 550.990(a))
- Sewerage and utility connection plans called for in the development/site plans. (Ref: 550.990(a); Context 4)
- If the project or permit type triggers additional environmental review or a conditional use: description of proposal and comparison to land uses within 350 feet; assessment of potential environmental hazards (soil/water/air contamination); and, where applicable, air quality, dust management, and sound attenuation plans. (Ref: conditional‑use submittal requirements in Context 3)

Traffic and operational plans (if applicable)
- Traffic plan describing site access and any truck trips generated (required for certain conditional uses or heavy‑use proposals). (Ref: Context 3)

Planned Unit Development (if applicable)
- If pursuing a PUD, platting or replatting per Chapter 598 and submission of a development plan showing all uses, site layout, elevations, landscaping, parking, drainage, signage, and public facilities. (Ref: 550.980; 550.990(a); Context 4)
- Note: approvals must be consistent with the approved development plan; building permits can be withheld for inconsistency. (Ref: 550.1000; Context 4)

Conditional uses, variances, and additional approvals
- If your UN3 proposal requires a conditional use permit or variances, include all materials listed for conditional uses (see Environmental/traffic items above) and any other materials the zoning administrator or decision‑making body requests. (Ref: Context 3; 525.620(b))

Catch‑all / administrative notes
- Be prepared to provide any additional information specifically requested by the zoning administrator to determine zoning compliance (the ordinance states administrative reviews include review for compliance and the zoning administrator provides forms and required items). (Ref: 525.620(b); Context 2)
- Identify and submit the parcel’s zoning plate/built‑form overlay(s) or a printout from the city’s zoning map so the reviewer can confirm applicable numeric standards (built‑form plates control the numeric form standards). (Ref: 535.730–535.780; Contexts 1 & 4)

If you want, I can convert this into a one‑page submission checklist (with checkbox fields) tailored to a specific parcel if you provide the parcel’s built‑form overlay plate(s) or the city zoning‑map/plate printout for the site."
q1-comp3-aud2-data1,1. Factual question with a specific answer,3. Phrased in a prompt engineering format with specific instructions,2. Single-family homeowner,1. Minneapolis zoning code,"Aim: Provide information on zoning for single-family home located in urban neighborhood zoning district at **2712 Colfax Ave South, Minneapolis, MN 55408**. Refer to the Minneapolis, MN zoning code to determine this.
Output: Zoning code for 2712 Colfax Ave South, Minneapolis, MN 55408 and the specific parts of the zoning code you sourced this information from.",gpt-5-mini,e5_large_unstruct_by_title,"I don't know. The documents you provided do not include a zoning map or a parcel-specific designation for 2712 Colfax Ave S, so I cannot determine the exact zoning for that address from the retrieved context.

Parts of the Minneapolis zoning code and materials I reviewed from the provided context:
- Minneapolis Zoning Code, Chapter 520 (General Provisions): 520.10 (Designated zoning ordinance), 520.20 (Authority), 520.30 (Purpose), 520.40 (Scope of regulations), 520.60 (Other regulations), 520.70 (Essential infrastructure), 520.80 (Reasonable accommodation), 520.90 (Private easements or covenants). (Context items 1–3)
- Zoning plates and land use zoning plate excerpts referencing Urban Neighborhood districts (UN, UN1, UN2, UN3) and related district labels (Plates cited in Context 4–5 — Minneapolis Zoning Plate: 31–34 and Plate 37 excerpts).
- Land use/density/FAR snippets showing UN district values and a line noting “UN Residential buildings with 1-3 units 0.5” (Context 3–5).
- References to overlay zoning districts (Context 6).

If you want the exact zoning for 2712 Colfax Ave S, provide a zoning map or the city parcel/zoning lookup output for that address, or I can’t determine it from these snippets."
q2-comp3-aud2-data1,2. Complex question asking to summarize language,3. Phrased in a prompt engineering format with specific instructions,2. Single-family homeowner,1. Minneapolis zoning code,"Aim: I am looking for relevant information and requirements from Minneapolis zoning code that I need to know as a single-family home owner who wants to build a accessory dwelling unit (ADU) on my property in urban neighborhood 2 (UN2) zoning district, Minneapolis, MN. 

Output: A summary of relevant zoning requirements for building an ADU on a single-family home in [zoning district returned by question 1] in Minneapolis, MN.",gpt-5-mini,e5_large_unstruct_by_title,"Summary (for a single‑family home in UN2):

Minneapolis’ citywide accessory dwelling unit (ADU) standards apply. Key requirements from the zoning code you provided: owner-occupancy and recorded covenant — if the ADU is internal and not a separate dwelling under the Minnesota State Building Code the property owner must occupy at least one dwelling unit on the zoning lot and must file a covenant (form prescribed by the zoning administrator) with Hennepin County before a permit is issued; the covenant runs with the land and can be released upon inspection if the ADU is removed or (for older ADUs) brought into compliance. Attached ADUs: maximum gross floor area 800 sq ft; no new entrances facing the public street on the principal structure; exterior primary materials must match the principal structure; stairways to an internal ADU above the ground floor must be enclosed or located entirely to the rear. Detached ADUs: height limited to 21 feet except by variance. Failure to meet owner‑occupancy rules requires removal of dwelling features and is a zoning violation.  

Code sections / excerpts used:
- Article IX, Accessory Dwelling Unit Standards — 550.1400 (purpose)
- 550.1450 — Additional development standards for accessory dwelling units that are attached to a principal residential structure (800 sq ft limit; no new street‑facing entrances; matching exterior materials; stairway location/enclosure; grandfathering/release language)
- 550.1460 — Additional development standards for detached accessory dwelling units (21 ft height limit, except by variance)
- Owner‑occupancy, covenant recording, and enforcement provisions referenced in the ADU standards (recording with Hennepin County, form and return to zoning administrator, release on inspection) as shown in the provided excerpts.

If you want, I can check for any UN2‑specific overlay or built‑form limits (setbacks, lot coverage, parking, or maximum number of units) — those were not included in the excerpts you provided, so I can look them up if you want me to fetch additional code sections or city parcel/zoning information."
q3-comp3-aud2-data1,3. Complex question asking for recommendations,3. Phrased in a prompt engineering format with specific instructions,2. Single-family homeowner,1. Minneapolis zoning code,"Aim: For the urban neighborhood 2 (UN2) zoning district in Minneapolis, MN, evaluate whether the specifications listed below meet the requirements for a small multi-family home construction as found in the zoning code. Also tell me if there is additional information you need from me to answer this question.
**Proposed property specifications**
- The lot area of multifamily home is 1000 sq feet.
- The accessory dwelling unit (ADU) height will be 20 feet.
-  The multifamily home has 5 dwellings.
- The  side and rear yard setback will be 5 feet all around.

Output: A list with each property specification and its evaluation based on the zoning ordinance, referencing specific parts of the code for each item.",gpt-5-mini,e5_large_unstruct_by_title,"- Lot area: 1,000 sq ft — UNKNOWN / insufficient information in provided excerpts. The retrieved context does not include minimum lot area or minimum lot width requirements for the UN2 district (no lot‑size table or built‑form overlay table was provided). Relevant provisions in the excerpts (Article II) that relate to lot controls but do not set minimums: 550.210–550.240 (zoning lots, division, one principal structure per zoning lot, required street frontage). I cannot determine compliance without the UN2 minimum lot area/width or the built‑form overlay lot standards.

- ADU height: 20 ft — EVALUATION: Appears to COMPLY if the ADU is a detached ADU. The provided code excerpt for detached accessory dwelling units states: “Except as authorized by variance, a detached accessory dwelling unit shall not exceed twenty‑one (21) feet in height.” (550.1460(1)). If the ADU is attached to the principal structure, the provided excerpts do not state a specific height limit for attached ADUs, so I cannot confirm compliance for an attached ADU from the retrieved context.

- Number of dwellings: 5 units — PARTIALLY ANSWERABLE / likely DOES NOT COMPLY for small lots per provided excerpts. The retrieved limits include: “Not more than three (3) dwelling units shall be allowed in a cluster development in the UN1 and UN2 Districts on lots seven thousand five hundred (7,500) square feet or less in area.” (Article with unit limits for UN districts, subpart b). Because the submitted lot area is 1,000 sq ft (<7,500), a cluster development on that lot would be limited to 3 units, so 5 units would not conform to that excerpt. The excerpts also state “Not more than three (3) dwelling units shall be allowed in each principal structure in the UN1 District” (subpart a), but the UN2 principal‑structure unit limit is not explicitly provided in the retrieved text. I cannot fully determine compliance for a non‑cluster development principal structure in UN2 from the provided excerpts.

- Side and rear yard setbacks: 5 ft all around — UNKNOWN / insufficient information in provided excerpts. The retrieved context does not include the UN2 setback table or built‑form overlay setback standards (no specific side/rear yard minimums were provided). I cannot confirm compliance without the UN2/built‑form setback requirements or the applicable overlay/table.

Additional information needed to complete a full evaluation:
1. Confirmation that the property is in UN2 (zoning map/parcel designation).  
2. Whether the ADU is detached or attached (and ADU square footage).  
3. Whether the proposal is a “cluster development” or a single principal structure.  
4. The UN2 minimum lot area, minimum lot width, and lot frontage requirements or the applicable built‑form overlay table(s) (setbacks, lot coverage, FAR, maximum units per principal structure).  
5. Any applicable overlay districts or special zoning plates that apply to the parcel.  

Code excerpts referenced from the provided context:
- ADU standards: 550.1450 (attached ADU limits — e.g., 800 sq ft max for attached ADU) and 550.1460(1) (detached ADU height limit 21 ft).  
- Unit and size limits for UN districts: “Not more than three (3) dwelling units…” and related subparts (limits on units/size for UN1 and UN2 cluster developments) — (Article with limits on number of units and size limits; see subparts a. and b.).  
- Lot control and zoning lot provisions: 550.210–550.240 (zoning lots, division, one principal structure per zoning lot, required street frontage).

If you provide the UN2 built‑form tables or the parcel’s zoning plate/lot standards (or confirm the ADU is detached and whether this is a cluster development), I can give a definitive compliance determination for each item."
q5-comp3-aud2-data1,5. Complex question distilling information/pre-check,3. Phrased in a prompt engineering format with specific instructions,2. Single-family homeowner,1. Minneapolis zoning code,"Aim: I am trying to fill a permit application for constructing a small multi-family building in urban neighborhood 2 (UN2) zoning district,  Minneapolis, MN. Provide a checklist of all information and documentation I need to fill the permit application successfully per the zoning ordinance.

Output: A checklist of requested information stated in the Aim.

",gpt-5-mini,e5_large_unstruct_by_title,"I don't know — the retrieved excerpts do not include the complete, UN2‑specific permit application checklist (application form, built‑form tables, site‑plan review triggers, inclusionary housing thresholds, fee table, or any parcel/overlay rules). From the provided zoning code snippets, here are the items the zoning ordinance explicitly requires or may require the zoning administrator to request (with the code references found in your retrieved context):

Required or commonly requested items (from provided excerpts)
- Completed zoning permit application form and any required fee (zoning administrator provides forms; fees listed in Table 525‑1) — (see 525.620 and context note about Table 525‑1).  
- A dimensioned/annotated plan showing the proposed building(s): building bulk, height, use, and existing buildings/uses in exact relation to lot lines — (525.620(b)).  
- A description of adjoining land uses — (525.620(b)).  
- A development/site plan showing: location of structures, parking areas, vehicular and pedestrian access, open space, drainage and sewerage, fire protection, building elevations, landscaping, screening/bufferyards, and location of existing public facilities and services — (550.990(a)).  
- If the proposal is a planned unit development (PUD): platting/replatting per land subdivision regs and a development plan as part of PUD approval — (550.980; 550.990).  
- Assurance that proposed work is consistent with any approved development plan (the city may withhold building permits if inconsistent) — (550.1000).  
- For certain uses or as requested by the zoning administrator, technical/environmental plans such as: air quality plan; dust management plan; sound attenuation plan; drainage/stormwater plan; landscape plan demonstrating compliance with site‑plan standards; and traffic plan describing trips and access — (context items listing these plans; see the site/conditional use excerpts).  
- Performance bond or letter of credit guaranteeing completion of required site improvements, if required by the planning commission or zoning administrator (bond amount may be set at 125% of estimated improvement cost) — (performance bond excerpt).  
- Inclusionary housing compliance documentation, if the project is subject to the city’s inclusionary housing requirements — (site plan review/inclusionary housing excerpt).  
- Evidence the property is not subject to unresolved zoning violations (noncompliant properties may not have new applications accepted until violations are corrected) — (noncomplying properties excerpt).

Additional documentation commonly needed though not fully detailed in the retrieved excerpts
- Survey/plat or legal description of the zoning lot and lot dimensions (zoning lot rules referenced: 550.210–550.240).  
- Any recorded covenants or owner‑occupancy covenants (if ADU or other owner‑occupancy rules apply).  
- Building permit application materials required by building code (plans stamped/approved by zoning administrator may serve as zoning permit) — (525.620(b) & related notes).  

Information I need to provide a complete, UN2‑specific “all items” checklist
- Confirmation that the parcel is actually zoned UN2 (parcel/zoning lookup or map).  
- Whether the project triggers site‑plan review, conditional use permit, or PUD review (depends on size/use and UN2 thresholds not included in excerpts).  
- Applicable built‑form standards for UN2 (setbacks, lot area/width minimums, maximum units/FAR/height, lot coverage) and any overlays for the parcel — these are not in the provided snippets.  
- Whether inclusionary housing, parking standards, and other chapter thresholds apply (these thresholds are not present in the retrieved context).

If you provide the parcel zoning confirmation (UN2) and/or the UN2 built‑form tables/thresholds or give me permission to pull additional code sections (setbacks, lot area, FAR, unit limits, site‑plan triggers, Table 525‑1 fee list), I can produce a complete, itemized checklist tailored to your specific UN2 multi‑family permit application."
q1-comp1-aud1-data1,1. Factual question with a specific answer,1. Google search-phrased,1. Professional developer,1. Minneapolis zoning code,"zoning district and built form overlay district for **2817 Pleasant Ave, Minneapolis, MN 55408** multi-family home, I'm a professional developer",gpt-5-mini,e5_small_recursive,"I don't know. The snippets you provided describe built-form and overlay rules generally but do not include the specific primary zoning district or built form overlay designation for 2817 Pleasant Ave. To get that address's zoning and built-form overlay, check the City of Minneapolis Zoning Map / parcel lookup or request zoning verification from CPED (or share the map/parcel zoning info here and I can interpret it)."
q2-comp1-aud1-data1,2. Complex question asking to summarize language,1. Google search-phrased,1. Professional developer,1. Minneapolis zoning code,"summarize zoning ordinance for urban neighborhood 3 (UN3) zoning district in Minneapolis, MN",gpt-5-mini,e5_small_recursive,"UN3 is the largest-scale Urban Neighborhood district and is intended to allow predominantly moderate- to large-scale residential uses, especially near transit routes and METRO stations. Key points from the ordinance you provided:
- Purpose: accommodate moderate–to–large scale housing near transit (one of UN1/UN2/UN3 Urban Neighborhood districts).  
- Residential development: residential buildings with four or more units are permitted on lots of record existing on the ordinance’s effective date, provided yard dimensions and all other district requirements that do not involve lot area or lot width are met.  
- Lot/structure limits: generally one principal residential structure per zoning lot in urban neighborhood districts (accessory dwelling units are not considered a separate principal structure); exceptions apply for cluster developments, common lot developments, and planned unit developments.  
- Lot access: each zoning lot must have frontage on a public street.  
- Minimum site-area thresholds for certain public/institutional uses in UN3 (from the excerpts): child care centers 4,000 sq ft; community centers 5,000 sq ft; educational facilities 10,000 sq ft; parks/recreational facilities 20,000 sq ft.  

For full permitted uses, dimensional standards, height, parking and built-form requirements, consult the complete UN3 district text and the City’s zoning map or CPED for parcel-specific regulations."
q3-comp1-aud1-data1,3. Complex question asking for recommendations,1. Google search-phrased,1. Professional developer,1. Minneapolis zoning code,"evaluate following zoning requirements for urban neighborhood 3 (UN3) zoning district in Minneapolis, MN for constructing a multi-family home

**Proposed property specifications**
- 1000 sq feet lot size
- 20 feet height 
- 5 dwellings in the buidling
- side and rear yard of 5 feet all around",gpt-5-mini,e5_small_recursive,"I can’t confirm whether your proposed plan complies. The excerpts you provided do not include the UN3 dimensional standards (required setbacks/side & rear yard minimums), height limits, or built-form overlay rules that control lot coverage and density. From the excerpts I can say only that: (1) a residential building with four or more units is permitted on a lot of record existing on the ordinance’s effective date provided the yard dimensions and all other district requirements (other than lot area or lot width) are met; (2) the minimum gross floor area per dwelling unit is 300 sq ft and at least 80% of habitable floor area must have a minimum width of 18 ft; and (3) rear-yard rules may invoke side-yard requirements of adjacent residential districts. To evaluate your specific proposal (1,000 sq ft lot; 20 ft height; five units; 5 ft side/rear yards) I would need the full UN3 dimensional table (setback and height limits), the built-form overlay for the parcel, the lot width/frontage and confirmation that the lot was a lot of record on the ordinance effective date. Provide those or the applicable zoning/built-form excerpts and I can evaluate compliance."
q5-comp1-aud1-data1,5. Complex question distilling information/pre-check,1. Google search-phrased,1. Professional developer,1. Minneapolis zoning code,"zoning requirement checklist for multi-family home construction in urban neighborhood 3 (UN3) zoning district Minneapolis, MN 

",gpt-5-mini,e5_small_recursive,"I don't know. The excerpts you provided do not include the complete UN3 district text or the built‑form overlay rules needed to make a checklist (missing specific dimensional standards such as setbacks, height limits, lot area/width, density, parking/loading, floor‑area ratio or lot coverage limits, and built‑form overlay requirements). From the snippets I can confirm only a few items (4+ unit buildings are permitted on lots of record if yard and other non‑area/width requirements are met; minimum unit area 300 sq ft; 80% of habitable area must be ≥18 ft wide; frontage on a public street is required; multi‑family projects with 4+ units containing at least one 3+ bedroom unit may trigger outdoor children’s play area rules on qualifying sites). Provide the full UN3 zoning text or the parcel’s zoning/built‑form overlay and I can produce a complete checklist."
q1-comp1-aud2-data1,1. Factual question with a specific answer,1. Google search-phrased,2. Single-family homeowner,1. Minneapolis zoning code,"my zoning info for single family home I own  in a residential area at **2712 Colfax Ave South, Minneapolis, MN 55408**",gpt-5-mini,e5_small_recursive,"I don't know. The material provided includes general Minneapolis zoning rules for single-, two-, and three-family dwellings (site plan review standards, fees, design-point requirements, etc.) but does not state the specific zoning district or parcel information for 2712 Colfax Ave S. To get the exact zoning for that address, please check the City of Minneapolis zoning map or property portal (or provide the property's zoning designation) and I can explain which rules from the code apply."
q2-comp1-aud2-data1,2. Complex question asking to summarize language,1. Google search-phrased,2. Single-family homeowner,1. Minneapolis zoning code,"summary zoning requirements for urban neighborhood 2 (UN2) zoning district, Minneapolis,  MN to build accessory dwelling unit (ADU) for single-family home.",gpt-5-mini,e5_small_recursive,"I don't know — the retrieved materials do not include UN2-specific bulk, setback, parking, or other built-form rules needed to fully describe UN2 ADU requirements. From the provided context I can only summarize the general ADU rules that would apply citywide (you’ll still need UN2-specific standards from the zoning map/code for setbacks, height, lot area, FAR, parking, etc.):

- An accessory dwelling unit (ADU) is subordinate to the principal residential structure and is not considered a separate principal residential structure.  
- Minimum gross floor area for any dwelling unit (including ADUs) is 300 sq ft. At least 80% of habitable floor area must be at least 18 ft wide.  
- Internal ADU size: generally limited to 800 sq ft; may exceed 800 sq ft only if the portion of the principal structure containing the ADU existed as of Jan 1, 2015. In no case may an internal ADU’s floor area exceed the first-floor area of the principal structure. The entire internal ADU must be on one level.  
- No new entrances facing the public street may be created on the principal structure as part of creating the ADU. Stairways to an internal ADU above the ground floor must be enclosed or entirely to the rear.  
- Owner-occupancy: if the ADU is internal and not a separate unit under the Minnesota State Building Code, the property owner must occupy at least one dwelling unit on the zoning lot as their primary residence; if the owner cannot or will not comply, they must remove ADU features.  
- Prior to permit issuance the owner must record a covenant with Hennepin County committing to these ADU requirements.  
- Administrative permit fee for ADUs (per provided fee table) is $325.

If you want a complete, UN2-specific summary (setbacks, height, lot area, parking, allowed ADU types like detached vs internal), provide the parcel’s zoning confirmation or I can summarize the UN2 built-form rules if you supply those code sections or a link to the UN2 standards."
q3-comp1-aud2-data1,3. Complex question asking for recommendations,1. Google search-phrased,2. Single-family homeowner,1. Minneapolis zoning code,"evaluate following zoning requirements for urban neighborhood 2 (UN2) zoning district, Minneapolis, MN for constructing an accessory dwelling unit (ADU) for single-family home as the owner

**Proposed property specifications**
- 1000 sq feet lot size
- 20 feet height 
-  side and rear yard of 5 feet all around",gpt-5-mini,e5_small_recursive,"I don't know — the retrieved materials do not include the UN2-specific bulk, setback, lot-area, parking or height standards needed to determine whether your proposed 1,000 sq ft lot with 5 ft side/rear yards and 20 ft height would comply in UN2. I can only summarize the general ADU rules in the excerpts you provided that would also apply:

- Minimum dwelling unit area: 300 sq ft.  
- Internal ADU size: generally limited to 800 sq ft; can exceed 800 sq ft only if the portion of the principal structure containing the ADU existed as of Jan 1, 2015. In no case may an internal ADU exceed the first-floor area of the principal structure; the entire internal ADU must be on one level.  
- No additional street-facing entrances may be created on the principal structure for the ADU; stairways to an internal ADU above ground floor must be enclosed or entirely to the rear.  
- Owner-occupancy: for internal ADUs that are not separate dwelling units under the state building code, an owner must occupy one unit on the zoning lot as their primary residence; if not, ADU features must be removed.  
- Before permit issuance the owner must record a covenant with Hennepin County committing to these ADU restrictions.  
- Administrative ADU permit fee shown in your excerpts: $325 (other fees may apply for height/area increases).  
- Zoning-lot rules: only one principal residential structure per zoning lot (ADU not a separate principal structure); zoning lots must have public street frontage.

If you want a definitive determination for UN2, provide the UN2 built-form/bulk sections or a link to the UN2 code, or confirm the parcel zoning from the city portal and I will evaluate your proposed lot size, setbacks, and height against those UN2 standards."
q5-comp1-aud2-data1,5. Complex question distilling information/pre-check,1. Google search-phrased,2. Single-family homeowner,1. Minneapolis zoning code,"zoning requirement checklist for single-family home construction in urban neighborhood 2 (UN2) zoning district,  Minneapolis, MN 

",gpt-5-mini,e5_small_recursive,"I don't know — the materials provided do not include the UN2-specific built-form/bulk (setbacks, height, lot area/FAR, parking, lot coverage, permitted ADU types, etc.) standards needed to produce a UN2 checklist. If you can provide the UN2 code sections or confirm the parcel’s zoning/build-form overlay from the city portal, I can prepare a complete checklist."
q1-comp2-aud1-data1,1. Factual question with a specific answer,2. Simply phrased prompt,1. Professional developer,1. Minneapolis zoning code,"How is this multi family home in a residential and institutional area zoned (provide the zoning  district and built form overlay district)? **2817 Pleasant Ave, Minneapolis, MN 55408**",gpt-5-mini,e5_small_recursive,"I don't know — the provided context does not include the specific zoning district or built form overlay for 2817 Pleasant Ave, so I cannot determine its zoning from the materials given."
q2-comp2-aud1-data1,2. Complex question asking to summarize language,2. Simply phrased prompt,1. Professional developer,1. Minneapolis zoning code,"What are the zoning requirements for urban neighborhood 3 (UN3) zoning district in Minneapolis, MN according to the ordinance?",gpt-5-mini,e5_small_recursive,"From the ordinance excerpts you provided: UN3 is one of the Urban Neighborhood Districts. The extracts show these specific requirements for UN3 (not a complete district code):

- Minimum site/lot sizes for certain uses in UN3:
  - Child care center: 4,000 sq. ft.
  - Community center: 5,000 sq. ft.
  - Educational facilities (general): 10,000 sq. ft.
  - Parks and public open spaces / Recreational facilities: 20,000 sq. ft.
  - Community garden: no minimum listed in the excerpt

- A residential building with four or more dwelling units is permitted on a lot of record existing on the ordinance’s effective date, provided yard dimensions and all other district requirements not involving lot area or lot width are met.

The supplied context does not include the full UN3 standards (e.g., permitted uses list, height limits, setbacks, density, parking, or built form overlay specifics), so I can’t provide the complete UN3 zoning requirements from these excerpts."
q3-comp2-aud1-data1,3. Complex question asking for recommendations,2. Simply phrased prompt,1. Professional developer,1. Minneapolis zoning code,"Do the following proposed property specifications meet the multi-family zoning requirements for urban neighborhood 3 (UN3) zoning district in Minneapolis, MN according to the zoning ordinance?

**Proposed property specifications**
- lot area: 1000 sq feet
- height of building: 20 feet
-  number of dwellings in the building: 5
-  side and rear yard: 5 feet",gpt-5-mini,e5_small_recursive,"I don't know — the provided ordinance excerpts do not include the specific UN3 numeric standards for minimum lot area, maximum building height, permitted density/number of units, or required side/rear yard dimensions, so I cannot determine compliance. The only relevant points in the excerpts are that (1) multiple-family developments of four or more units located on sites of at least 20,000 sq ft in UN3 must provide a children's play area (not applicable to a 1,000 sq ft lot), (2) only one principal residential structure is allowed per zoning lot in urban neighborhood districts, and (3) each zoning lot must have street frontage."
q5-comp2-aud1-data1,5. Complex question distilling information/pre-check,2. Simply phrased prompt,1. Professional developer,1. Minneapolis zoning code,"Give me a checklist of information and documentation based on the zoning ordinance which I need to provide in the permit application as a professional developer constructing a small multi-family building in urban neighborhood 3 (UN3) zoning district, Minneapolis, MN.

",gpt-5-mini,e5_small_recursive,"Checklist (based on the provided ordinance excerpts):

- Complete a pre-application meeting with city staff (may be waived for less complex applications).  
- File the permit application on the form approved by the zoning administrator and pay applicable application fees.  
- Submit all required application forms and any supplemental forms the zoning administrator identifies.  
- Provide a detailed project description (scope, program, number/type of units, construction schedule).  
- Scaled maps, site plans and dimensional renderings showing and describing: buildable area; existing and proposed structures; lot lines and all required setbacks; existing and proposed impervious surfaces; existing and proposed topography and drainage patterns.  
- Stormwater and erosion/sediment control plans (proposed practices).  
- Vegetation and landscape plan: existing vegetation to be removed and vegetation to be established.  
- Identification of primary conservation areas and public river corridor views (if applicable).  
- Delineation of ordinary high water level, blufflines, and any related setbacks (if applicable).  
- Existing and proposed subsurface sewage treatment systems (if applicable).  
- Any environmental review materials required by the planning director (environmental review fee may apply).  
- Be prepared to provide any additional information the zoning administrator determines necessary to make the application complete.

If you want, I can format this as a downloadable checklist or confirm any items specific to UN3 uses/maximums if you can supply the full UN3 numeric standards."
q1-comp2-aud2-data1,1. Factual question with a specific answer,2. Simply phrased prompt,2. Single-family homeowner,1. Minneapolis zoning code,"How is a single family home located at **2712 Colfax Ave South, Minneapolis, MN 55408** zoned? ",gpt-5-mini,e5_small_recursive,"I don't know — the provided zoning code excerpts do not include the specific zoning designation or map information for 2712 Colfax Ave S, so I can't determine how that single-family home is zoned."
q2-comp2-aud2-data1,2. Complex question asking to summarize language,2. Simply phrased prompt,2. Single-family homeowner,1. Minneapolis zoning code,"I am a single-family home owner and I want to build a accessory dwelling unit (ADU) on my property in urban neighborhood 2 (UN2) zoning district, Minneapolis, MN. What are the zoning requirements, restrictions, or permits I would need to keep in mind for my zoning district?",gpt-5-mini,e5_small_recursive,"In UN2 the city’s ADU rules (as shown in the provided excerpts) allow an accessory dwelling unit while treating it as part of the same principal dwelling (it is not a separate principal structure). Key requirements and restrictions from the ordinance you should note: an internal ADU generally may not exceed 800 sq ft (unless the portion of the principal structure containing the ADU existed on Jan 1, 2015) and in no case may the ADU’s floor area exceed the first-floor area of the principal residence; the entire internal ADU must be on one level; creation of the ADU may not add new entrances facing the public street, and any stairs to an above‑ground internal ADU must be enclosed or entirely at the rear of the building; minimum dwelling unit gross floor area is 300 sq ft and at least 80% of habitable area must have an 18‑ft minimum width; the owner must occupy at least one dwelling unit on the zoning lot as their primary residence if the ADU is internal and not a separate dwelling under the State Building Code (and must remove ADU features if they will not meet that requirement); prior to permit issuance you must record a covenant with the Hennepin County Recorder restricting use to the ordinance requirements; and there is an administrative ADU application fee ($325). You will also need to meet the primary UN2 and any built‑form overlay standards that apply to your lot (lot area, yards/setbacks, parking, street frontage, etc.). If you want specifics on setbacks, parking or whether a detached ADU is allowed on your parcel, I don’t have that detail in the provided excerpts."
q3-comp2-aud2-data1,3. Complex question asking for recommendations,2. Simply phrased prompt,2. Single-family homeowner,1. Minneapolis zoning code,"Do the following proposed property specifications meet the single family zoning requirements for urban neighborhood 2 (UN2) zoning district, MN according to the zoning ordinance?

**Proposed property specifications**
- lot area: 1000 sq feet
- height of building: 20 feet
-  number of dwellings in the building: 5
-   side and rear yard setback: 5 feet ",gpt-5-mini,e5_small_recursive,"I don’t know — the excerpts you provided do not include the UN2 numeric standards for minimum lot area, maximum building height, or required side/rear yard setbacks, so I can’t determine compliance. The only directly relevant provision shown (550.230) states a zoning lot may have no more than one principal residential structure in urban neighborhood districts, so if your “5 dwellings” means five separate principal structures that would violate that rule; beyond that, the materials here don’t give the specific lot-area, height, or yard dimensions for UN2."
